video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,number_of_words, number_of_elongated_words, number_of_continuous_segments, number_of_pauses, max_pause_time , min_pause_time, avg_pause_time, last_pause_length
AndyWoodhull,5,8,1,0,5,1,150,13,6,2,1,1.7,0.84,1.27,1.7
AndyWoodhull,10,12,1,8,10,241,300,4,1,0,0,0,0,0,0
AndyWoodhull,20,21,1,12,20,361,600,29,7,2,1,1.84,0.69,1.265,1.84
AndyWoodhull,47,48,1,21,47,631,1410,97,21,4,3,1.64,0.42,0.8875,1.64
AndyWoodhull,57,62,1,48,57,1441,1710,33,9,2,1,1,0.7,0.85,1
AndyWoodhull,65,66,1,62,65,1861,1950,11,3,1,0,1.35,1.35,1.35,1.35
AndyWoodhull,68,72,1,66,68,1981,2040,9,1,0,0,0,0,0,0
AndyWoodhull,82,83,1,72,82,2161,2460,32,15,0,0,0,0,0,0
AndyWoodhull,95,96,1,83,95,2491,2850,36,5,2,1,1.36,0.34,0.85,1.36
AndyWoodhull,103,104,1,96,103,2881,3090,14,4,2,1,2.77,0.56,1.665,2.77
AndyWoodhull,110,111,1,104,110,3121,3300,14,1,2,1,1.03,0.94,0.985,0.94
AndyWoodhull,115,116,1,111,115,3331,3450,15,1,0,0,0,0,0,0
AndyWoodhull,127,131,1,116,127,3481,3810,39,9,0,0,0,0,0,0
AndyWoodhull,144,145,1,131,144,3931,4320,48,15,0,0,0,0,0,0
AndyWoodhull,154,155,1,145,154,4351,4620,28,2,3,2,1.22,0.65,0.86,1.22
AndyWoodhull,157,158,1,155,157,4651,4710,6,1,0,0,0,0,0,0
AndyWoodhull,166,168,1,158,166,4741,4980,30,8,1,0,1.18,1.18,1.18,1.18
AndyWoodhull,173,174,1,168,173,5041,5190,14,5,1,0,1.28,1.28,1.28,1.28
AndyWoodhull,177,181,1,174,177,5221,5310,9,2,0,0,0,0,0,0
AndyWoodhull,186,187,1,181,186,5431,5580,5,0,1,0,5.07,5.07,5.07,5.07
AndyWoodhull,199,200,1,187,199,5611,5970,38,8,0,0,0,0,0,0
AndyWoodhull,203,204,1,200,203,6001,6090,8,2,0,0,0,0,0,0
AndyWoodhull,207,208,1,204,207,6121,6210,14,3,0,0,0,0,0,0
AndyWoodhull,212,213,1,208,212,6241,6360,13,2,1,0,1.66,1.66,1.66,1.66
AndyWoodhull,225,230,1,213,225,6391,6750,41,10,1,0,6.24,6.24,6.24,6.24
AndyWoodhull,235,236,1,230,235,6901,7050,14,5,0,0,0,0,0,0
AndyWoodhull,241,242,1,236,241,7081,7230,16,3,0,0,0,0,0,0
AndyWoodhull,246,247,1,242,246,7261,7380,11,3,0,0,0,0,0,0
AndyWoodhull,274,285,2,247,274,7411,8220,100,20,2,1,3.84,0.67,2.255,3.84
AndyWoodhull,288,289,1,285,288,8551,8640,4,0,1,0,1.62,1.62,1.62,1.62
AndyWoodhull,293,294,1,289,293,8671,8790,18,2,0,0,0,0,0,0
AndyWoodhull,301,312,2,294,301,8821,9030,24,8,1,0,0.71,0.71,0.71,0.71
AndyWoodhull,319,321,2,312,319,9361,9570,26,2,0,0,0,0,0,0
AndyWoodhull2,2,5,1,0,2,1,60,6,0,0,0,0,0,0,0
AndyWoodhull2,26,27,1,5,26,151,780,69,18,1,0,0.49,0.49,0.49,0.49
AndyWoodhull2,31,32,1,27,31,811,930,5,1,0,0,0,0,0,0
AndyWoodhull2,38,43,1,32,38,961,1140,18,4,0,0,0,0,0,0
AndyWoodhull2,49,50,1,43,49,1291,1470,25,3,0,0,0,0,0,0
AndyWoodhull2,54,55,1,50,54,1501,1620,19,3,0,0,0,0,0,0
AndyWoodhull2,62,64,1,55,62,1651,1860,20,6,1,0,2.43,2.43,2.43,2.43
AndyWoodhull2,83,84,1,64,83,1921,2490,67,24,4,3,0.28,0.22,0.24,0.23
AndyWoodhull2,88,89,1,84,88,2521,2640,13,6,0,0,0,0,0,0
AndyWoodhull2,100,102,1,89,100,2671,3000,37,5,1,0,0.52,0.52,0.52,0.52
AndyWoodhull2,120,121,1,102,120,3061,3600,63,18,2,1,0.48,0.26,0.37,0.26
AndyWoodhull2,128,130,1,121,128,3631,3840,20,3,3,2,2.44,0.45,1.316666667,2.44
AndyWoodhull2,132,133,1,130,132,3901,3960,4,2,1,0,0.97,0.97,0.97,0.97
AndyWoodhull2,136,137,1,133,136,3991,4080,2,0,0,0,0,0,0,0
AndyWoodhull2,142,143,1,137,142,4111,4260,22,5,0,0,0,0,0,0
AndyWoodhull2,152,153,1,143,152,4291,4560,25,5,1,0,2.34,2.34,2.34,2.34
AndyWoodhull2,159,160,1,153,159,4591,4770,13,4,1,0,1.11,1.11,1.11,1.11
AndyWoodhull2,163,170,1,160,163,4801,4890,4,1,0,0,0,0,0,0
AndyWoodhull2,186,187,1,170,186,5101,5580,59,9,3,2,0.84,0.64,0.726666667,0.7
AndyWoodhull2,200,201,1,187,200,5611,6000,52,7,1,0,0.49,0.49,0.49,0.49
AndyWoodhull2,204,205,1,201,204,6031,6120,10,4,0,0,0,0,0,0
AndyWoodhull2,210,211,1,205,210,6151,6300,21,2,0,0,0,0,0,0
AndyWoodhull2,220,221,2,211,220,6331,6600,34,7,1,0,3.74,3.74,3.74,3.74
AndyWoodhull2,230,238,1,221,230,6631,6900,29,4,1,0,0.91,0.91,0.91,0.91
AndyWoodhull2,253,255,2,238,253,7141,7590,51,10,2,1,0.45,0.41,0.43,0.45
AndyWoodhull2,258,259,2,255,258,7651,7740,8,2,0,0,0,0,0,0
AndyWoodhull2,264,266,2,259,264,7771,7920,13,4,0,0,0,0,0,0
AndyWoodhull2,281,282,1,266,281,7981,8430,50,12,2,1,2.03,1.83,1.93,2.03
AndyWoodhull2,292,293,1,282,292,8461,8760,35,4,1,0,1.16,1.16,1.16,1.16
AparnaNancherla1,14,16,2,0,14,1,420,52,8,2,1,1.03,0.98,1.005,1.03
AparnaNancherla1,19,21,2,16,19,481,570,7,1,0,0,0,0,0,0
AparnaNancherla1,22,23,2,21,22,631,660,4,0,0,0,0,0,0,0
AparnaNancherla1,36,37,2,23,36,691,1080,20,6,2,1,2.23,1.63,1.93,1.63
AparnaNancherla1,49,51,2,37,49,1111,1470,25,5,1,0,2.21,2.21,2.21,2.21
AparnaNancherla1,55,56,2,51,55,1531,1650,8,0,0,0,0,0,0,0
AparnaNancherla1,66,67,2,56,66,1681,1980,13,0,1,0,2.52,2.52,2.52,2.52
AparnaNancherla1,81,83,2,67,81,2011,2430,26,3,2,1,4.63,2.3,3.465,4.63
AparnaNancherla1,85,86,2,83,85,2491,2550,7,1,0,0,0,0,0,0
AparnaNancherla1,96,97,2,86,96,2581,2880,31,5,1,0,0.86,0.86,0.86,0.86
AparnaNancherla1,111,113,2,97,111,2911,3330,39,6,2,1,1.43,1.18,1.305,1.18
AparnaNancherla1,125,126,2,120,125,3601,3750,17,0,0,0,0,0,0,0
AparnaNancherla1,131,132,2,126,131,3781,3930,4,0,0,0,0,0,0,0
AparnaNancherla1,145,147,2,132,145,3961,4350,33,16,1,0,2.23,2.23,2.23,2.23
AparnaNancherla1,151,152,2,147,151,4411,4530,7,1,1,0,3.43,3.43,3.43,3.43
AparnaNancherla1,163,164,2,152,163,4561,4890,27,9,2,1,0.64,0.48,0.56,0.64
AparnaNancherla1,178,179,2,164,178,4921,5340,25,2,1,0,7.11,7.11,7.11,7.11
AparnaNancherla1,186,187,2,179,186,5371,5580,14,2,0,0,0,0,0,0
AparnaNancherla1,189,191,2,187,189,5611,5670,2,0,0,0,0,0,0,0
AparnaNancherla1,198,199,2,191,198,5731,5940,6,0,0,0,0,0,0,0
AparnaNancherla1,211,212,2,199,211,5971,6330,25,5,1,0,2.67,2.67,2.67,2.67
AparnaNancherla1,218,219,2,212,218,6361,6540,14,3,0,0,0,0,0,0
AparnaNancherla1,226,227,2,219,226,6571,6780,9,3,1,0,4.66,4.66,4.66,4.66
AparnaNancherla1,235,236,2,227,235,6811,7050,21,2,2,1,0.71,0.43,0.57,0.71
AparnaNancherla1,239,240,2,236,239,7081,7170,10,3,0,0,0,0,0,0
AparnaNancherla1,244,245,2,240,244,7201,7320,7,4,0,0,0,0,0,0
AparnaNancherla1,257,258,2,245,257,7351,7710,37,6,1,0,2.28,2.28,2.28,2.28
AparnaNancherla1,262,263,2,258,262,7741,7860,9,2,0,0,0,0,0,0
AparnaNancherla1,266,267,2,263,266,7891,7980,8,1,0,0,0,0,0,0
AparnaNancherla1,271,277,2,267,271,8011,8130,3,0,0,0,0,0,0,0
AparnaNancherla1,289,291,2,277,289,8311,8670,30,10,1,0,2.65,2.65,2.65,2.65
