video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,5,8,1,0,5,1,150,0.120954345,0.200926345,-0.96197844,-0.128315103,0.194627865,-0.962094353,55.68867657,47.31603067,543.94864,0.086462333,-0.062749566,-0.128916458,1.595110467,0.100394395,-0.055447577,-0.125540558,725.6221333,435.1993067,0.00772974,0,0.054639973,0.03346126,0.867703139,0.886855257,0.553689819,0.559032411,1.61987242,0.75564439,0.07234566,0.769745179,0.071420402,0.166851685,1.312297726,1.129945857,0.497048155,0,0,0.353333333,0.026666667,0.96,0.826666667,0.753333333,0.153333333,0.76,0.913333333,0.166666667,0.64,0.14,0.04,0.56,0.42,0.08,0.86,0.385283533,0.488449641
AndyWoodhull,10,12,1,8,10,241,300,0.21235775,0.235431133,-0.947116217,0.008749849,0.228004433,-0.972140967,-15.959963,33.34144167,509.6204333,0.005690481,-0.175535607,-0.030229996,1.708556333,0.009955181,-0.19155647,-0.032164148,612.4589667,417.5950833,0.391408106,0.16199505,0.183249695,0.064643213,0.317521138,0.17351053,0.216940084,0.965142983,0.727555183,0.35375957,0.17233722,0.349687485,0.041377942,0.558290335,1.407000144,0.890342578,0.904566537,0.2,0.116666667,0.716666667,0,0.233333333,0.633333333,0.166666667,0.45,0.25,0.85,0.266666667,0.416666667,0,0,0.466666667,0.433333333,0.133333333,0.8,0.651839908,0.36722607
AndyWoodhull,20,21,1,12,20,361,600,-0.013870807,0.232276179,-0.963862658,-0.21138606,0.222517346,-0.941455071,87.97894381,22.6356215,504.1655125,0.002237812,-0.190757843,-0.009477298,1.729428083,0.012264633,-0.184862458,-0.007198632,792.636825,399.5366042,0.196455862,0.073698616,0.171855344,0.099041675,0.40958552,0.262767327,0.068487294,0.634897141,0.977521726,0.43395519,0.188392931,0.352389608,0.10546764,0.355615598,1.26470913,1.00360362,0.566117092,0.125,0.129166667,0.458333333,0.175,0.425,0.508333333,0,0.2625,0.395833333,0.575,0.308333333,0.366666667,0.129166667,0.079166667,0.416666667,0.5125,0.291666667,0.370833333,0.598371711,0.432285817
AndyWoodhull,47,48,1,21,47,631,1410,0.02355023,0.246434005,-0.954688651,-0.166830387,0.248263197,-0.940705558,64.62952848,10.85739224,489.1391538,-0.017810376,-0.055002932,-0.029412204,1.779029731,-0.002558419,-0.042310448,-0.028061068,754.7774679,379.5114692,0.426997922,0.101432044,0.064119698,0.118659829,0.196126866,0.290923428,0.255378365,0.546110316,0.959006922,0.282192374,0.113500114,0.468774111,0.041402191,0.401852779,1.184126681,0.720870319,0.37112711,0.382051282,0.206410256,0.346153846,0.143589744,0.444871795,0.517948718,0.158974359,0.25,0.357692308,0.594871795,0.255128205,0.346153846,0.046153846,0.097435897,0.421794872,0.387179487,0.120512821,0.33974359,0.616710971,0.505890292
AndyWoodhull,57,62,1,48,57,1441,1710,-0.072552157,0.227230699,-0.961933889,-0.277574864,0.223101493,-0.924255567,100.8276366,4.761410407,496.9196185,-0.06584929,0.115399747,0.019433079,1.765355333,-0.055499028,0.152705662,0.021414607,816.3338074,368.7914926,0.7614135,0.316062673,0.141891768,0.231190756,0.22505744,0.217496058,0.363749487,0.47341301,1.166376551,0.403281019,0.065814753,0.565030484,0.07767808,0.444862475,1.182596344,0.80633854,0.229338657,0.618518519,0.607407407,0.585185185,0.114814815,0.548148148,0.259259259,0.148148148,0.237037037,0.514814815,0.655555556,0.025925926,0.462962963,0.111111111,0.218518519,0.603703704,0.292592593,0.207407407,0.385185185,0.568762305,0.572940262
AndyWoodhull,65,66,1,62,65,1861,1950,-0.121626464,0.225404967,-0.959598689,-0.340320656,0.211836089,-0.909230644,174.5564778,7.051169678,488.2550333,-0.036870346,-0.156979313,-0.029124263,1.798544778,-0.014567412,-0.12275032,-0.025587289,953.9587556,372.9658667,0.090683242,0.00253311,0,0.0038288,0.046505525,0.02341741,0.015977302,0.018940544,0.113270079,0.147150112,0.676718129,1.405676351,0.324177534,0.193918925,0.674464151,0.834234263,0.322164796,0.133333333,0.577777778,0.044444444,0.333333333,0,0.033333333,0,0,0,0.188888889,0.622222222,0.766666667,0.422222222,0.055555556,0.055555556,0.588888889,0.3,0.144444444,0.658710743,0.547623741
AndyWoodhull,68,72,1,66,68,1981,2040,0.137005357,0.228638767,-0.9620531,-0.059145731,0.2531903,-0.964730933,-39.74073227,-1.084692743,473.9941,-0.069455469,0.384190532,0.071085573,1.837398333,-0.060862689,0.408518932,0.072622388,567.5646833,358.3077333,1.651422017,0.402070645,0.39114344,0.285606535,0.027434149,0.141005991,0.127997948,1.041898583,0.595804506,0.328335025,0.201441663,1.356440077,0.090609082,1.711695388,1.066656568,1.058915937,0.012936402,0.733333333,0.816666667,0.616666667,0.116666667,0,0.533333333,0.083333333,0.583333333,0.2,0.266666667,0.133333333,0.633333333,0,0.45,0.316666667,0.15,0.183333333,0.233333333,0.690810296,0.618030923
AndyWoodhull,82,83,1,72,82,2161,2460,0.071548704,0.248149187,-0.953822717,-0.128047269,0.256612987,-0.943529547,26.38369529,-5.21380862,484.74684,-0.0840034,0.089718217,-0.080692071,1.7919286,-0.065774092,0.108994027,-0.080848384,687.96978,350.91011,0.754888415,0.18493826,0.089217048,0.243884906,0.164809917,0.208054041,0.22872848,0.541281054,0.978019787,0.325333344,0.042216807,0.559551889,0.029030008,0.725049755,1.302892683,1.018753429,0.461003239,0.55,0.366666667,0.3,0.273333333,0.41,0.476666667,0.036666667,0.183333333,0.336666667,0.463333333,0.076666667,0.316666667,0,0.166666667,0.55,0.503333333,0.26,0.373333333,0.665220724,0.552634776
AndyWoodhull,95,96,1,83,95,2491,2850,0.122352078,0.245611514,-0.952901433,-0.061810578,0.265147414,-0.955912128,-5.955878222,2.555176269,484.7767833,0.021389454,0.212515923,-0.119243838,1.794234389,0.036888023,0.22967662,-0.121493406,628.6623944,364.6155611,0.916739851,0.319822994,0.246013904,0.524697442,0.1089229,0.198862611,0.325300879,0.98194038,0.636354375,0.391727472,0.022529495,0.926148211,0.098044111,1.134217498,1.092653696,1.012038775,0.308634384,0.505555556,0.419444444,0.602777778,0.133333333,0.202777778,0.336111111,0.091666667,0.422222222,0.258333333,0.483333333,0.302777778,0.536111111,0.119444444,0.130555556,0.441666667,0.347222222,0.086111111,0.308333333,0.608042578,0.584832537
AndyWoodhull,103,104,1,96,103,2881,3090,-0.014611669,0.275203243,-0.953073414,-0.216592544,0.263559867,-0.93166601,110.0325362,3.96779677,495.7361714,0.033914028,-0.204689784,-0.028161209,1.755171667,0.049768587,-0.1931156,-0.026567885,834.6781143,366.9393143,0.182871256,0.029807612,0.000440124,0.037228786,0.308871081,0.265078754,0.032104779,0.343771057,1.174924662,0.212375451,0.225649612,0.277275845,0.04156058,0.172054696,1.138794003,0.989367164,0.641520493,0.242857143,0.433333333,0.042857143,0.038095238,0.6,0.3,0,0.038095238,0.4,0.547619048,0.452380952,0.347619048,0.114285714,0.038095238,0.471428571,0.557142857,0.047619048,0.3,0.635368448,0.517077643
AndyWoodhull,110,111,1,104,110,3121,3300,0.013990559,0.262556344,-0.951467811,-0.187607642,0.257238172,-0.931805006,54.3285877,-1.575429317,492.3788833,0.021738591,0.043059632,-0.026374003,1.768732444,0.038539639,0.067545921,-0.027003678,735.2993833,357.0540944,0.250572277,0.01403303,0.067375916,0.102486381,0.232789166,0.434243258,0.317436534,0.676103571,1.316688878,0.618831309,0.191985264,0.466598831,0.108759252,0.371951504,1.189260738,0.781681194,0.170122186,0.155555556,0.166666667,0.377777778,0.283333333,0.566666667,0.627777778,0.35,0.311111111,0.616666667,0.744444444,0.283333333,0.522222222,0.172222222,0.144444444,0.594444444,0.383333333,0.077777778,0.4,0.549602137,0.525022118
AndyWoodhull,115,116,1,111,115,3331,3450,0.120228807,0.292427258,-0.934789992,-0.079364205,0.264270292,-0.948157383,40.90767392,3.333950118,493.6450417,-0.040284958,-0.261483993,-0.020671889,1.75421175,-0.024608289,-0.272709509,-0.02002032,711.805225,366.1444417,0.017943055,0.001762398,0,0,0.48574231,0.401235257,0.286178063,0.314450559,1.088616643,0.423899378,0.252235865,0.324437297,0.133895048,0.067788573,0.858544613,0.989880358,1.027773158,0.091666667,0.608333333,0,0.033333333,0.416666667,0.483333333,0.083333333,0,0.316666667,0.858333333,0.533333333,0.308333333,0.325,0,0.383333333,0.75,0.2,0.641666667,0.696979763,0.379511134
AndyWoodhull,127,131,1,116,127,3481,3810,-0.004692024,0.265910831,-0.949161818,-0.206653885,0.28287578,-0.920714715,82.0406676,1.434472727,480.3896758,0.031521819,0.0758771,-0.069298287,1.826381061,0.052838774,0.106779866,-0.070434395,788.5564061,362.8667848,0.762343602,0.213453046,0.207812711,0.111001184,0.149196659,0.146909369,0.293609315,0.695231748,0.737767757,0.384526158,0.135299133,0.663287334,0.107838537,0.566218101,1.044587762,0.784903477,0.321503149,0.227272727,0.533333333,0.472727273,0.054545455,0.281818182,0.181818182,0.154545455,0.272727273,0.184848485,0.53030303,0.245454545,0.312121212,0.072727273,0.106060606,0.360606061,0.418181818,0.124242424,0.278787879,0.65883937,0.594165758
AndyWoodhull,144,145,1,131,144,3931,4320,0.130445492,0.268883362,-0.942065582,-0.072480427,0.266772269,-0.948216033,11.42552579,-8.621473104,468.5244487,-0.088867178,-0.044150496,-0.023876805,1.842372436,-0.064147463,-0.040018382,-0.023553374,659.9706,344.2043667,0.636642628,0.1886092,0.00089677,0.11860889,0.117520328,0.124751562,0.126909712,0.215136793,0.572120659,0.318198875,0.306501989,0.435815445,0.078874683,0.183211001,0.946589209,0.812220111,0.292568647,0.423076923,0.807692308,0.148717949,0.302564103,0.202564103,0.141025641,0.025641026,0.064102564,0.192307692,0.471794872,0.430769231,0.356410256,0.128205128,0.102564103,0.397435897,0.487179487,0.243589744,0.133333333,0.729729124,0.551863763
AndyWoodhull,154,155,1,145,154,4351,4620,0.069816882,0.25875443,-0.951440985,-0.129585519,0.264584856,-0.94515553,59.43454264,-9.799770468,475.4270963,-0.101295916,-0.08689462,-0.062684728,1.823151963,-0.080960844,-0.074025449,-0.063143528,748.9373296,342.1797259,0.350156315,0.077932759,0.062254406,0.034001799,0.310027709,0.268240193,0.242131051,0.485123209,1.181997419,0.546591481,0.318647519,0.545241942,0.112205273,0.14671174,1.090217234,0.602369084,0.421178609,0.148148148,0.411111111,0.177777778,0.074074074,0.540740741,0.359259259,0.103703704,0.144444444,0.425925926,0.707407407,0.288888889,0.377777778,0.214814815,0.144444444,0.4,0.359259259,0.251851852,0.388888889,0.694648834,0.493581926
AndyWoodhull,157,158,1,155,157,4651,4710,0.036540057,0.301671033,-0.949936717,-0.18925296,0.29058795,-0.934875033,51.68989333,-10.09592469,471.2728833,-0.019671968,0.015101548,0.013830615,1.832080333,0.002962253,0.041060064,0.013698927,736.5159,341.2366667,0.617397055,0.155434793,0.00076654,0.202149243,0.135335147,0.072022292,0.100435617,0.309441853,1.144290967,0.317967571,0.138130863,0.283449242,0.178921368,0.182779737,1.384391462,0.606419207,0.625599979,0.45,0.95,0.25,0.083333333,0.45,0.166666667,0.05,0.2,0.5,0.916666667,0.4,0.6,0.433333333,0.016666667,0.4,0.316666667,0,0.25,0.728802757,0.588500322
AndyWoodhull,166,168,1,158,166,4741,4980,0.106239161,0.26260655,-0.954415917,-0.113672332,0.264352092,-0.953865729,8.907308379,-2.372018712,469.7824667,-0.014339936,0.104711866,0.001569751,1.838337,0.009627565,0.119810745,0.000765212,656.3382625,355.5152917,0.834636526,0.289471503,0.198127979,0.136918739,0.07769922,0.121642673,0.085708843,0.40044955,0.539225615,0.352342723,0.192086404,0.714757311,0.153140826,0.484525133,0.749129556,0.859577649,0.342177358,0.425,0.741666667,0.379166667,0.0625,0.241666667,0.1125,0,0.125,0.145833333,0.4125,0.4375,0.4875,0.1875,0.120833333,0.2875,0.366666667,0.1,0.379166667,0.70427748,0.614276794
AndyWoodhull,173,174,1,168,173,5041,5190,0.214388837,0.265592027,-0.916176293,0.001711794,0.261729533,-0.942993993,7.143236,11.03062637,467.1542667,0.000834461,-0.317230073,-0.12247073,1.869558,0.010742607,-0.345345347,-0.123455935,653.74648,380.4467733,0.121001377,0.010487651,0.024008069,0,0.197086975,0.280138661,0.059402808,0.30495922,0.81767726,0.305435902,0.145280656,0.39077918,0.058793218,0.051970056,0.683105403,1.077837491,0.801491301,0.1,0.413333333,0,0.086666667,0.206666667,0.086666667,0,0,0.033333333,0.633333333,0.58,0.3,0.173333333,0.12,0.186666667,0.673333333,0.326666667,0.5,0.724197874,0.451407818
AndyWoodhull,177,181,1,174,177,5221,5310,-0.006843716,0.053529056,-0.990700222,-0.037258009,0.065697744,-0.985464444,73.97213222,17.90529624,447.7589556,0.108279975,-0.256082591,-0.094682925,1.933190111,0.12627196,-0.263837091,-0.090620406,784.6861667,394.8273667,0.043017078,0,0.003356733,0.079451316,0.062093972,0.03396003,0.000649894,0.280662944,0.222698967,0.022672108,0.155234513,0.314549529,0.024929129,0.097492856,0.209546778,0.233339756,0.118966372,0.2,0.133333333,0,0.1,0.088888889,0,0,0.077777778,0.022222222,0.055555556,0.133333333,0.166666667,0.066666667,0.044444444,0.044444444,0.122222222,0,0.044444444,0.624266388,0.587722788
AndyWoodhull,186,187,1,181,186,5431,5580,0.265047621,0.267218747,-0.91994134,0.074720599,0.262719213,-0.956078713,-37.0989858,9.154304853,485.2755133,0.027195548,-0.20472947,-0.07489761,1.785423533,0.039285587,-0.229146674,-0.075064078,571.8278267,376.4905267,0.058032564,0,0.005607762,0.04816895,0.375768651,0.194090349,0.170335957,0.545826225,0.93389658,0.478816204,0.270361915,0.694942435,0.221786046,0.537048549,0.604725553,0.455768747,0.365016036,0.06,0,0.3,0.04,0.646666667,0.72,0.173333333,0.073333333,0.32,0.813333333,0.773333333,0.726666667,0.32,0.073333333,0.206666667,0.226666667,0.3,0.433333333,0.519960244,0.459815768
AndyWoodhull,199,200,1,187,199,5611,5970,0.02405012,0.269536164,-0.947669725,-0.192153844,0.264118342,-0.929413272,64.23480953,3.008658517,466.6723111,-0.034262261,-0.018986117,-0.037879864,1.860606333,-0.01509317,0.002659482,-0.038344012,760.4960667,365.9266694,0.373927212,0.266035386,0.055508903,0.059436074,0.218723739,0.159709524,0.0468434,0.414972769,0.800694741,0.39565405,0.127511345,0.522419526,0.176397882,0.268143453,1.165697327,1.106088867,0.568039271,0.269444444,0.558333333,0.288888889,0.122222222,0.302777778,0.341666667,0.033333333,0.194444444,0.355555556,0.505555556,0.377777778,0.277777778,0.183333333,0.05,0.488888889,0.538888889,0.258333333,0.375,0.705370713,0.576572018
AndyWoodhull,203,204,1,200,203,6001,6090,-0.084271803,0.277310844,-0.949178978,-0.284306514,0.253835378,-0.920244,135.8854789,2.740179827,464.8268667,-0.04474279,-0.071837391,-0.017325032,1.883162222,-0.026258827,-0.035118089,-0.015110535,896.7389222,365.4184444,0.463029519,0.079159242,0.012139997,0.155474822,0.493611231,0.191661058,0.193339669,0.582274405,1.234157467,0.363015825,0.20529733,0.381094714,0.083571214,0.166042364,1.461690687,0.992225512,0.56732245,0.588888889,0.6,0.177777778,0,0.566666667,0.666666667,0.088888889,0.211111111,0.444444444,0.711111111,0.211111111,0.244444444,0.122222222,0.144444444,0.566666667,0.7,0.044444444,0.377777778,0.73428895,0.567519381
AndyWoodhull,207,208,1,204,207,6121,6210,0.280359082,0.292960211,-0.906671978,0.067825853,0.2777789,-0.950717544,-51.30958823,7.584885056,451.9762111,0.0495707,0.02506062,-0.004138515,1.911165778,0.070502549,0.019827656,-0.005558157,540.9535556,374.5533222,0.770773288,0.642218284,0.059673342,0.034319334,0.121683962,0.181621866,0.017851507,0.129083474,0.313657439,0.155776846,0.313085481,0.82039509,0.22309923,0.354799209,0.717142338,1.431074744,0.454799042,0.466666667,0.955555556,0.311111111,0,0.077777778,0.077777778,0,0,0,0.322222222,0.777777778,0.922222222,0.322222222,0.211111111,0.4,0.6,0.1,0.277777778,0.752924672,0.636190814
