video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_y,gaze_1_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU06_r,AU07_r,AU12_r,AU14_r,AU23_r,AU26_r,AU01_c,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU23_c,AU25_c,AU26_c,eyebrow_raise,frown
AndyWoodhull,5,8,1,0,5,1,150,0.042985408,0.045289923,68.30922727,18.54549691,28.09024712,0.12421457,0.18032618,0.074080064,0.075949079,0.121562602,0.189050571,0.078278801,105.9344692,26.487227,0.00772974,0,0.054639973,0.867703139,0.886855257,1.61987242,0.75564439,0.166851685,1.129945857,0,0.353333333,0.026666667,0.96,0.826666667,0.153333333,0.76,0.913333333,0.166666667,0.64,0.04,0.56,0.42,0.094956907,0.067815142
AndyWoodhull,10,12,1,8,10,241,300,0.032168564,0.031206371,48.24666154,8.582491296,10.30446792,0.074758736,0.407870724,0.032418872,0.031001113,0.070936512,0.434474291,0.034541833,81.45011635,14.48027597,0.391408106,0.16199505,0.183249695,0.317521138,0.17351053,0.727555183,0.35375957,0.558290335,0.890342578,0.2,0.716666667,0,0.233333333,0.633333333,0.45,0.25,0.85,0.266666667,0.416666667,0,0.466666667,0.433333333,0.081337149,0.178236081
AndyWoodhull,20,21,1,12,20,361,600,0.046970841,0.048507145,46.24392955,7.689527801,16.69074196,0.10010922,0.326010304,0.046643067,0.050841188,0.099597615,0.352922916,0.047234388,79.79438684,13.06820839,0.196455862,0.073698616,0.171855344,0.40958552,0.262767327,0.977521726,0.43395519,0.355615598,1.00360362,0.125,0.458333333,0.175,0.425,0.508333333,0.2625,0.395833333,0.575,0.308333333,0.366666667,0.079166667,0.416666667,0.5125,0.09192015,0.179257821
AndyWoodhull,47,48,1,21,47,631,1410,0.039168813,0.03269153,87.05820104,12.2890982,11.85627642,0.134179854,0.328252596,0.089754568,0.038282266,0.134661901,0.347721761,0.093355003,154.2932037,21.63140523,0.426997922,0.101432044,0.064119698,0.196126866,0.290923428,0.959006922,0.282192374,0.401852779,0.720870319,0.382051282,0.346153846,0.143589744,0.444871795,0.517948718,0.25,0.357692308,0.594871795,0.255128205,0.346153846,0.097435897,0.421794872,0.387179487,0.088924687,0.099969882
AndyWoodhull,57,62,1,48,57,1441,1710,0.06030835,0.07820155,81.23996462,11.04599076,14.83158083,0.197659262,0.266740412,0.054549458,0.041947749,0.204424852,0.275683657,0.056637511,136.4854194,18.82540152,0.7614135,0.316062673,0.141891768,0.22505744,0.217496058,1.166376551,0.403281019,0.444862475,0.80633854,0.618518519,0.585185185,0.114814815,0.548148148,0.259259259,0.237037037,0.514814815,0.655555556,0.025925926,0.462962963,0.218518519,0.603703704,0.292592593,0.228514002,0.058841517
AndyWoodhull,65,66,1,62,65,1861,1950,0.04125296,0.04021048,22.67288755,3.50234652,6.176843895,0.051180793,0.134934985,0.032903687,0.02147991,0.053983688,0.145343753,0.033009341,38.91515999,6.169225696,0.090683242,0.00253311,0,0.046505525,0.02341741,0.113270079,0.147150112,0.193918925,0.834234263,0.133333333,0.044444444,0.333333333,0,0.033333333,0,0,0.188888889,0.622222222,0.766666667,0.055555556,0.055555556,0.588888889,0.054109664,0.065544333
AndyWoodhull,68,72,1,66,68,1981,2040,0.033290565,0.029893204,38.51329098,4.690421329,7.944104762,0.075848689,0.289109518,0.050182569,0.03968896,0.058933572,0.30235806,0.051891536,70.66894888,8.426633371,1.651422017,0.402070645,0.39114344,0.027434149,0.141005991,0.595804506,0.328335025,1.711695388,1.058915937,0.733333333,0.616666667,0.116666667,0,0.533333333,0.583333333,0.2,0.266666667,0.133333333,0.633333333,0.45,0.316666667,0.15,0.040517571,0.042944593
AndyWoodhull,82,83,1,72,82,2161,2460,0.050823649,0.052187273,97.18404007,5.148932104,11.12305727,0.095575991,0.324701628,0.088639645,0.03829142,0.093416165,0.335504612,0.090360739,173.8562648,9.223928062,0.754888415,0.18493826,0.089217048,0.164809917,0.208054041,0.978019787,0.325333344,0.725049755,1.018753429,0.55,0.3,0.273333333,0.41,0.476666667,0.183333333,0.336666667,0.463333333,0.076666667,0.316666667,0.166666667,0.55,0.503333333,0.081725999,0.096986026
AndyWoodhull,95,96,1,83,95,2491,2850,0.038973704,0.035322926,71.47577927,10.63080853,12.60066257,0.105310488,0.340977526,0.071121268,0.042053893,0.10105003,0.359426412,0.073360102,127.7518997,19.09514282,0.916739851,0.319822994,0.246013904,0.1089229,0.198862611,0.636354375,0.391727472,1.134217498,1.012038775,0.505555556,0.602777778,0.133333333,0.202777778,0.336111111,0.422222222,0.258333333,0.483333333,0.302777778,0.536111111,0.130555556,0.441666667,0.347222222,0.128188182,0.064069919
AndyWoodhull,103,104,1,96,103,2881,3090,0.039762801,0.042887706,56.3563566,7.711186725,7.298897178,0.104957965,0.189250925,0.042264479,0.025010599,0.104690334,0.203227495,0.042764329,99.24138029,13.27908935,0.182871256,0.029807612,0.000440124,0.308871081,0.265078754,1.174924662,0.212375451,0.172054696,0.989367164,0.242857143,0.042857143,0.038095238,0.6,0.3,0.038095238,0.4,0.547619048,0.452380952,0.347619048,0.038095238,0.471428571,0.557142857,0.060449881,0.072610595
AndyWoodhull,110,111,1,104,110,3121,3300,0.036234077,0.038444244,104.7033669,5.012990836,8.739355149,0.050767283,0.325215605,0.042908212,0.029595773,0.051477368,0.334150694,0.043080192,185.9457599,8.837712395,0.250572277,0.01403303,0.067375916,0.232789166,0.434243258,1.316688878,0.618831309,0.371951504,0.781681194,0.155555556,0.377777778,0.283333333,0.566666667,0.627777778,0.311111111,0.616666667,0.744444444,0.283333333,0.522222222,0.144444444,0.594444444,0.383333333,0.092920239,0.109338302
AndyWoodhull,115,116,1,111,115,3331,3450,0.04901539,0.041227482,78.35388945,7.419985725,6.646053685,0.113662937,0.087141528,0.028059667,0.024675811,0.112241302,0.090594078,0.030344673,139.7057312,12.7875949,0.017943055,0.001762398,0,0.48574231,0.401235257,1.088616643,0.423899378,0.067788573,0.989880358,0.091666667,0,0.033333333,0.416666667,0.483333333,0,0.316666667,0.858333333,0.533333333,0.308333333,0,0.383333333,0.75,0.106673458,0.073879608
AndyWoodhull,127,131,1,116,127,3481,3810,0.048024989,0.051526519,98.27641025,10.2051357,17.10247715,0.120020046,0.343690584,0.12703041,0.071761249,0.118780671,0.353993011,0.130038546,174.7776245,18.542179,0.762343602,0.213453046,0.207812711,0.149196659,0.146909369,0.737767757,0.384526158,0.566218101,0.784903477,0.227272727,0.472727273,0.054545455,0.281818182,0.181818182,0.272727273,0.184848485,0.53030303,0.245454545,0.312121212,0.106060606,0.360606061,0.418181818,0.084480055,0.100872823
