video,laughter_start,laughter_end,mean_pitch,sd_pitch,mean_intensity,sd_intensity,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame
AndyWoodhull2,2,5,0.255264548325,0.0920502926029,0.877855618471,0.0785771384356,0.224085417943,0,2.0,1,60
AndyWoodhull2,26,27,0.262452806829,0.089729952503,0.88057610018,0.0771571856607,0.231109669119,5.0,26.0,151,780
AndyWoodhull2,31,32,0.262441862292,0.0902726325131,0.880030364521,0.0776078271599,0.230956807739,27.0,31.0,811,930
AndyWoodhull2,38,43,0.262554596802,0.0914717105996,0.87967369254,0.0780084946629,0.230962371662,32.0,38.0,961,1140
AndyWoodhull2,49,50,0.263294087382,0.0920652018981,0.87882578946,0.0790021626689,0.231389634203,43.0,49.0,1291,1470
AndyWoodhull2,54,55,0.26296470738,0.0922576008415,0.878733517123,0.0794027239395,0.231075902196,50.0,54.0,1501,1620
AndyWoodhull2,62,64,0.263124941421,0.0930916958162,0.878290816325,0.0801325551238,0.231100219596,55.0,62.0,1651,1860
AndyWoodhull2,83,84,0.269892838684,0.0915669152247,0.883000628942,0.0768756875725,0.238315546305,64.0,83.0,1921,2490
AndyWoodhull2,88,89,0.26949236077,0.092082043053,0.882196127929,0.0773599438005,0.237745117178,84.0,88.0,2521,2640
AndyWoodhull2,100,102,0.270311384725,0.0940943263706,0.883751236773,0.0769762502736,0.238888020564,89.0,100.0,2671,3000
AndyWoodhull2,120,121,0.279852352806,0.093102374677,0.887816384015,0.0740215706602,0.248457503926,102.0,120.0,3061,3600
AndyWoodhull2,128,130,0.279882603862,0.093924225438,0.888684251767,0.0737455857784,0.248727262396,121.0,128.0,3631,3840
AndyWoodhull2,132,133,0.279846898517,0.0941298606421,0.888749956867,0.073823294439,0.248713918987,130.0,132.0,3901,3960
AndyWoodhull2,136,137,0.277667887387,0.0939808357944,0.887971417989,0.0743721888576,0.246561147693,133.0,136.0,3991,4080
AndyWoodhull2,142,143,0.277882757106,0.0951878053132,0.887358004394,0.0750595862473,0.246581488801,137.0,142.0,4111,4260
AndyWoodhull2,152,153,0.27726363665,0.0976791749291,0.887650698339,0.0750462761624,0.246113260696,143.0,152.0,4291,4560
AndyWoodhull2,159,160,0.278612733892,0.0980659938085,0.889041054233,0.0743194057371,0.247698158662,153.0,159.0,4591,4770
AndyWoodhull2,163,170,0.278277301024,0.0965343769093,0.889036582993,0.074826398043,0.247398700827,160.0,163.0,4801,4890
AndyWoodhull2,186,187,0.280007713895,0.099432707575,0.886805587425,0.0773739778889,0.248312405204,170.0,186.0,5101,5580
AndyWoodhull2,200,201,0.280532168197,0.103516715885,0.889234859843,0.0763739066867,0.249458983268,187.0,200.0,5611,6000
AndyWoodhull2,204,205,0.281829285486,0.104524310825,0.88875234518,0.0773540888152,0.250476438416,201.0,204.0,6031,6120
AndyWoodhull2,210,211,0.282729124698,0.106930749176,0.88693524595,0.0786183788816,0.250762425751,205.0,210.0,6151,6300
AndyWoodhull2,220,221,0.284300060113,0.110362398352,0.885972639591,0.0806052003845,0.251882074694,211.0,220.0,6331,6600
AndyWoodhull2,230,238,0.282114890773,0.11111550062,0.890243033863,0.0791416349539,0.25115081626,221.0,230.0,6631,6900
AndyWoodhull2,253,255,0.288217408054,0.108317129402,0.907767918881,0.0622148884245,0.261634516694,238.0,253.0,7141,7590
AndyWoodhull2,258,259,0.288363437798,0.106164567003,0.907505181649,0.0615390963333,0.261691314,255.0,258.0,7651,7740
AndyWoodhull2,264,266,0.284464552062,0.107540943825,0.901624487475,0.0644272021726,0.256480205958,259.0,264.0,7771,7920
AndyWoodhull2,281,282,0.256014883215,0.098717455552,0.916199764705,0.0529528174795,0.234560775763,266.0,281.0,7981,8430
AndyWoodhull2,292,293,0.244703379839,0.0984730035264,0.937051217391,0.0386710024085,0.229299599978,282.0,292.0,8461,8760
AndyWoodhull,5,8,0.275884262592,0.131151551428,0.746383011069,0.158308218802,0.20591532662,0,5.0,1,150
AndyWoodhull,10,12,0.274619300301,0.129300389296,0.745156637347,0.158598959725,0.204634394362,8.0,10.0,241,300
AndyWoodhull,20,21,0.274742305533,0.130406341139,0.745186117761,0.158158812675,0.204734152045,12.0,20.0,361,600
AndyWoodhull,47,48,0.283266698769,0.132271874369,0.749150687182,0.152159824477,0.212209442039,21.0,47.0,631,1410
AndyWoodhull,57,62,0.283360827423,0.134275171343,0.747417560456,0.152817255298,0.211788858361,48.0,57.0,1441,1710
AndyWoodhull,65,66,0.283677034876,0.133305374494,0.746107817512,0.154604351875,0.21165365337,62.0,65.0,1861,1950
AndyWoodhull,68,72,0.283353461072,0.13387185861,0.745483587774,0.155035220454,0.211235354768,66.0,68.0,1981,2040
AndyWoodhull,82,83,0.280538977904,0.134673017505,0.745961442917,0.155663300155,0.209271260752,72.0,82.0,2161,2460
AndyWoodhull,95,96,0.286885897426,0.134039313177,0.748603431727,0.15291076634,0.214763767327,83.0,95.0,2491,2850
AndyWoodhull,103,104,0.285721016861,0.134825711985,0.748585828803,0.152862444954,0.213886704213,96.0,103.0,2881,3090
AndyWoodhull,110,111,0.28215359853,0.134669974584,0.747727331783,0.1537972405,0.210973957382,104.0,110.0,3121,3300
AndyWoodhull,115,116,0.281762567338,0.135230961522,0.747681894275,0.154183271636,0.210668770083,111.0,115.0,3331,3450
AndyWoodhull,127,131,0.283023566506,0.14015965341,0.744583945805,0.155681575586,0.210734803904,116.0,127.0,3481,3810
AndyWoodhull,144,145,0.297176727082,0.138241858935,0.74740497862,0.152722876975,0.222111365351,131.0,144.0,3931,4320
AndyWoodhull,154,155,0.293144297961,0.138391622688,0.748794356238,0.151165367778,0.219504795876,145.0,154.0,4351,4620
AndyWoodhull,157,158,0.293438824027,0.139211308885,0.748452088867,0.151461127212,0.219624900798,155.0,157.0,4651,4710
AndyWoodhull,166,168,0.295023567271,0.140682450577,0.747692780911,0.15096182405,0.220586991447,158.0,166.0,4741,4980
AndyWoodhull,173,174,0.29194671565,0.141466309926,0.746208791196,0.152190662714,0.217853205779,168.0,173.0,5041,5190
AndyWoodhull,177,181,0.290271344212,0.142816511581,0.74511930685,0.152902231271,0.216286782798,174.0,177.0,5221,5310
AndyWoodhull,186,187,0.288489342982,0.144878439207,0.743824633549,0.155021396511,0.214585479826,181.0,186.0,5431,5580
AndyWoodhull,199,200,0.292644902713,0.148915566316,0.750061985911,0.149461295716,0.219501816896,187.0,199.0,5611,5970
AndyWoodhull,203,204,0.29078139204,0.150907209039,0.747344883928,0.150248357696,0.217313985682,200.0,203.0,6001,6090
AndyWoodhull,207,208,0.288076730052,0.151332748711,0.744931237895,0.150939289244,0.214597355127,204.0,207.0,6121,6210
AndyWoodhull,212,213,0.283342547223,0.149946325274,0.743328369941,0.152691889484,0.210616553762,208.0,212.0,6241,6360
