video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,5,8,1,0,5,1,150,-0.173984,0.0458723,-0.989573,-0.385553,0.0850919,-0.996086,-52.844,1.00835,492.677,-0.197558,-0.412492,-0.282982,1.44764,-0.169641,-0.416761,-0.293195,553.927,362.363,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.28644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,10,12,1,8,10,241,300,0.154686,0.154539,-0.966231,-0.0817748,0.14059,-0.986522,-101.008,19.9772,489.394,-0.12686,-0.584778,-0.136631,1.65687,-0.112957,-0.622265,-0.146517,469.63,393.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,20,21,1,12,20,361,600,-0.262848,0.13654,-0.984815,-0.486036,0.0736812,-0.98281,-5.33152,8.91385,463.931,-0.257303,-0.727828,-0.114332,1.58671,-0.242538,-0.745171,-0.113566,630.097,375.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0260121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,47,48,1,21,47,631,1410,-0.30098,0.100466,-0.992725,-0.466663,0.153695,-0.985138,-143.822,-11.3129,437.595,-0.359521,-0.498434,-0.247937,1.6876,-0.36159,-0.529014,-0.25942,380.528,340.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,57,62,1,48,57,1441,1710,-0.325764,0.0848284,-0.991502,-0.545401,0.0392224,-0.974012,-30.4147,-19.5387,445.94,-0.574422,-0.29879,-0.122479,1.64669,-0.58799,-0.256488,-0.127212,586.619,327.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,65,66,1,62,65,1861,1950,-0.303481,0.167646,-0.980327,-0.530311,0.166015,-0.963996,138.977,-2.58387,471.083,-0.208722,-0.336224,-0.0954625,1.75792,-0.191689,-0.312805,-0.0925038,887.575,356.249,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,68,72,1,66,68,1981,2040,0.0402289,0.116849,-0.980522,-0.105393,0.147313,-0.983884,-88.268,-8.16991,454.166,-0.261178,-0.0547519,-0.0522252,1.7798,-0.224414,-0.0643416,-0.0564705,477.169,346.06,0.279237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,82,83,1,72,82,2161,2460,-0.212826,0.125452,-0.990266,-0.413634,0.128325,-0.977794,-118.852,-18.5661,450.893,-0.34248,-0.441262,-0.26436,1.68664,-0.332943,-0.452656,-0.266373,431.165,326.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,95,96,1,83,95,2491,2850,-0.0881719,0.143965,-0.984413,-0.256907,0.185515,-0.981863,-99.6047,-25.5587,456.203,-0.280438,-0.371149,-0.258848,1.68906,-0.256177,-0.389704,-0.267102,459.428,313.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,103,104,1,96,103,2881,3090,-0.183548,0.170305,-0.974494,-0.426968,0.178818,-0.977967,16.0205,-10.7113,478.674,-0.151912,-0.428762,-0.159602,1.69068,-0.144639,-0.422483,-0.160018,667.901,341.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
